2018-12-11T07:04:56.416+0000 I CONTROL  [main] ***** SERVER RESTARTED *****
2018-12-11T07:05:03.735+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-11T07:05:04.236+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-11T07:05:04.737+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-11T07:05:05.238+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-11T07:05:05.738+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-11T07:05:06.239+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-11T07:05:06.740+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-11T07:05:07.241+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-11T07:05:07.741+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-11T07:05:08.242+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-11T07:05:08.743+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-11T07:05:09.244+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-11T07:05:09.745+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-11T07:05:10.246+0000 I ASIO     [ShardRegistry] Connecting to 172.17.0.5:27019
2018-12-11T07:05:11.389+0000 W SHARDING [replSetDistLockPinger] pinging failed for distributed lock pinger :: caused by :: LockStateChangeFailed: findAndModify query predicate didn't match any lock document
2018-12-11T07:05:16.371+0000 I NETWORK  [shard registry reload] Starting new replica set monitor for rs_shardsvr0/172.17.0.6:27018,172.17.0.7:27018,172.17.0.8:27018
2018-12-11T07:05:16.371+0000 I NETWORK  [shard registry reload] Starting new replica set monitor for rs_shardsvr1/172.17.0.10:27018,172.17.0.11:27018,172.17.0.9:27018
2018-12-11T07:05:16.383+0000 I NETWORK  [ReplicaSetMonitor-TaskExecutor] Successfully connected to 172.17.0.7:27018 (1 connections now open to 172.17.0.7:27018 with a 5 second timeout)
2018-12-11T07:05:16.394+0000 I NETWORK  [ReplicaSetMonitor-TaskExecutor] Successfully connected to 172.17.0.8:27018 (1 connections now open to 172.17.0.8:27018 with a 5 second timeout)
2018-12-11T07:05:16.405+0000 I NETWORK  [ReplicaSetMonitor-TaskExecutor] Successfully connected to 172.17.0.6:27018 (1 connections now open to 172.17.0.6:27018 with a 5 second timeout)
2018-12-11T07:05:16.405+0000 W NETWORK  [ReplicaSetMonitor-TaskExecutor] Unable to reach primary for set rs_shardsvr0
2018-12-11T07:05:16.406+0000 W NETWORK  [ReplicaSetMonitor-TaskExecutor] Unable to reach primary for set rs_shardsvr1
2018-12-11T07:05:16.406+0000 I NETWORK  [ReplicaSetMonitor-TaskExecutor] Cannot reach any nodes for set rs_shardsvr1. Please check network connectivity and the status of the set. This has happened for 1 checks in a row.
2018-12-11T07:05:17.392+0000 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/data/db/diagnostic.data'
2018-12-11T07:05:17.395+0000 I REPL     [initandlisten] Rollback ID is 1
2018-12-11T07:05:17.396+0000 I REPL     [initandlisten] Recovering from stable timestamp: Timestamp(1544511035, 1) (top of oplog: { ts: Timestamp(1544511035, 1), t: 113 }, appliedThrough: { ts: Timestamp(0, 0), t: -1 }, TruncateAfter: Timestamp(0, 0))
2018-12-11T07:05:17.396+0000 I REPL     [initandlisten] Starting recovery oplog application at the stable timestamp: Timestamp(1544511035, 1)
2018-12-11T07:05:17.396+0000 I REPL     [initandlisten] No oplog entries to apply for recovery. Start point is at the top of the oplog.
2018-12-11T07:05:17.396+0000 I NETWORK  [initandlisten] waiting for connections on port 27018
2018-12-11T07:05:17.397+0000 I NETWORK  [listener] connection accepted from 172.17.0.11:54176 #13 (1 connection now open)
2018-12-11T07:05:17.397+0000 I NETWORK  [conn13] received client metadata from 172.17.0.11:54176 conn13: { driver: { name: "MongoDB Internal Client", version: "4.0.4" }, os: { type: "Linux", name: "Ubuntu", architecture: "x86_64", version: "16.04" } }
2018-12-11T07:05:17.413+0000 I ACCESS   [conn13] Successfully authenticated as principal __system on local
2018-12-11T07:05:17.413+0000 I NETWORK  [ShardServerCatalogCacheLoader-0] Successfully connected to 172.17.0.11:27018 (1 connections now open to 172.17.0.11:27018 with a 5 second timeout)
2018-12-11T07:05:17.415+0000 I NETWORK  [ShardServerCatalogCacheLoader-0] Successfully connected to 172.17.0.9:27018 (1 connections now open to 172.17.0.9:27018 with a 5 second timeout)
2018-12-11T07:05:17.428+0000 I REPL     [replexec-0] New replica set config in use: { _id: "rs_shardsvr1", version: 1, protocolVersion: 1, writeConcernMajorityJournalDefault: true, members: [ { _id: 0, host: "172.17.0.9:27018", arbiterOnly: false, buildIndexes: true, hidden: false, priority: 1.0, tags: {}, slaveDelay: 0, votes: 1 }, { _id: 1, host: "172.17.0.10:27018", arbiterOnly: false, buildIndexes: true, hidden: false, priority: 1.0, tags: {}, slaveDelay: 0, votes: 1 }, { _id: 2, host: "172.17.0.11:27018", arbiterOnly: false, buildIndexes: true, hidden: false, priority: 1.0, tags: {}, slaveDelay: 0, votes: 1 } ], settings: { chainingAllowed: true, heartbeatIntervalMillis: 2000, heartbeatTimeoutSecs: 10, electionTimeoutMillis: 10000, catchUpTimeoutMillis: -1, catchUpTakeoverDelayMillis: 30000, getLastErrorModes: {}, getLastErrorDefaults: { w: 1, wtimeout: 0 }, replicaSetId: ObjectId('5bed1cb2f5c6d1cd501ce26d') } }
2018-12-11T07:05:17.428+0000 I REPL     [replexec-0] This node is 172.17.0.11:27018 in the config
2018-12-11T07:05:17.428+0000 I REPL     [replexec-0] transition to STARTUP2 from STARTUP
2018-12-11T07:05:17.428+0000 I REPL     [replexec-0] Starting replication storage threads
2018-12-11T07:05:17.429+0000 I ASIO     [Replication] Connecting to 172.17.0.9:27018
2018-12-11T07:05:17.429+0000 I ASIO     [Replication] Connecting to 172.17.0.10:27018
2018-12-11T07:05:17.429+0000 I REPL     [replexec-0] transition to RECOVERING from STARTUP2
2018-12-11T07:05:17.430+0000 I REPL     [replexec-0] Starting replication fetcher thread
2018-12-11T07:05:17.430+0000 I REPL     [replexec-0] Starting replication applier thread
2018-12-11T07:05:17.430+0000 I REPL     [replexec-0] Starting replication reporter thread
2018-12-11T07:05:17.431+0000 I REPL     [rsSync-0] Starting oplog application
2018-12-11T07:05:17.431+0000 I REPL     [rsSync-0] transition to SECONDARY from RECOVERING
2018-12-11T07:05:17.431+0000 I REPL     [rsSync-0] Resetting sync source to empty, which was :27017
2018-12-11T07:05:17.431+0000 I NETWORK  [ShardServerCatalogCacheLoader-0] Successfully connected to 172.17.0.10:27018 (1 connections now open to 172.17.0.10:27018 with a 5 second timeout)
2018-12-11T07:05:17.431+0000 I REPL     [replexec-1] Member 172.17.0.9:27018 is now in state SECONDARY
2018-12-11T07:05:17.431+0000 W NETWORK  [ShardServerCatalogCacheLoader-0] Unable to reach primary for set rs_shardsvr1
2018-12-11T07:05:17.432+0000 I REPL     [replexec-2] Member 172.17.0.10:27018 is now in state SECONDARY
2018-12-11T07:05:17.825+0000 I NETWORK  [listener] connection accepted from 172.17.0.10:57594 #19 (2 connections now open)
2018-12-11T07:05:17.825+0000 I NETWORK  [conn19] received client metadata from 172.17.0.10:57594 conn19: { driver: { name: "NetworkInterfaceTL", version: "4.0.4" }, os: { type: "Linux", name: "Ubuntu", architecture: "x86_64", version: "16.04" } }
2018-12-11T07:05:17.846+0000 I NETWORK  [listener] connection accepted from 172.17.0.10:57596 #20 (3 connections now open)
2018-12-11T07:05:17.846+0000 I NETWORK  [conn20] received client metadata from 172.17.0.10:57596 conn20: { driver: { name: "MongoDB Internal Client", version: "4.0.4" }, os: { type: "Linux", name: "Ubuntu", architecture: "x86_64", version: "16.04" } }
2018-12-11T07:05:17.846+0000 I ACCESS   [conn20] Successfully authenticated as principal __system on local
2018-12-11T07:05:17.847+0000 I ACCESS   [conn19] Successfully authenticated as principal __system on local
2018-12-11T07:05:17.866+0000 I NETWORK  [listener] connection accepted from 172.17.0.9:50388 #21 (4 connections now open)
2018-12-11T07:05:17.866+0000 I NETWORK  [conn21] received client metadata from 172.17.0.9:50388 conn21: { driver: { name: "NetworkInterfaceTL", version: "4.0.4" }, os: { type: "Linux", name: "Ubuntu", architecture: "x86_64", version: "16.04" } }
2018-12-11T07:05:17.867+0000 I NETWORK  [listener] connection accepted from 172.17.0.9:50390 #22 (5 connections now open)
2018-12-11T07:05:17.867+0000 I NETWORK  [conn22] received client metadata from 172.17.0.9:50390 conn22: { driver: { name: "MongoDB Internal Client", version: "4.0.4" }, os: { type: "Linux", name: "Ubuntu", architecture: "x86_64", version: "16.04" } }
2018-12-11T07:05:17.877+0000 I ACCESS   [conn21] Successfully authenticated as principal __system on local
2018-12-11T07:05:17.878+0000 I ACCESS   [conn22] Successfully authenticated as principal __system on local
2018-12-11T07:05:17.932+0000 W NETWORK  [ShardServerCatalogCacheLoader-0] Unable to reach primary for set rs_shardsvr1
2018-12-11T07:05:18.432+0000 W NETWORK  [ShardServerCatalogCacheLoader-0] Unable to reach primary for set rs_shardsvr1
2018-12-11T07:05:18.933+0000 W NETWORK  [ShardServerCatalogCacheLoader-0] Unable to reach primary for set rs_shardsvr1
2018-12-11T07:05:19.366+0000 I NETWORK  [listener] connection accepted from 172.17.0.9:50392 #23 (6 connections now open)
2018-12-11T07:05:19.366+0000 I NETWORK  [conn23] received client metadata from 172.17.0.9:50392 conn23: { driver: { name: "NetworkInterfaceTL", version: "4.0.4" }, os: { type: "Linux", name: "Ubuntu", architecture: "x86_64", version: "16.04" } }
2018-12-11T07:05:19.367+0000 I ACCESS   [conn23] Successfully authenticated as principal __system on local
2018-12-11T07:05:19.368+0000 I NETWORK  [listener] connection accepted from 172.17.0.9:50394 #24 (7 connections now open)
2018-12-11T07:05:19.368+0000 I NETWORK  [conn24] received client metadata from 172.17.0.9:50394 conn24: { driver: { name: "NetworkInterfaceTL", version: "4.0.4" }, os: { type: "Linux", name: "Ubuntu", architecture: "x86_64", version: "16.04" } }
2018-12-11T07:05:19.369+0000 I ACCESS   [conn24] Successfully authenticated as principal __system on local
2018-12-11T07:05:19.434+0000 W NETWORK  [ShardServerCatalogCacheLoader-0] Unable to reach primary for set rs_shardsvr1
2018-12-11T07:05:19.742+0000 I COMMAND  [conn23] command local.oplog.rs command: find { find: "oplog.rs", filter: { ts: { $gte: Timestamp(1543474125, 1) } }, tailable: true, oplogReplay: true, awaitData: true, maxTimeMS: 60000, batchSize: 13981010, term: 113, readConcern: { afterClusterTime: Timestamp(1543474125, 1) }, $replData: 1, $oplogQueryData: 1, $readPreference: { mode: "secondaryPreferred" }, $clusterTime: { clusterTime: Timestamp(1544511910, 8), signature: { hash: BinData(0, F3A53A34FF9A0AE20DB76671D30E65F40918FB24), keyId: 6623981580761169927 } }, $db: "local" } planSummary: COLLSCAN cursorid:29643074443 keysExamined:0 docsExamined:95254 numYields:747 nreturned:95254 reslen:11134419 locks:{ Global: { acquireCount: { r: 754 } }, Database: { acquireCount: { r: 750 } }, oplog: { acquireCount: { r: 750 } } } protocol:op_msg 373ms
2018-12-11T07:05:19.934+0000 W NETWORK  [ShardServerCatalogCacheLoader-0] Unable to reach primary for set rs_shardsvr1
2018-12-11T07:05:20.268+0000 I NETWORK  [listener] connection accepted from 172.17.0.5:34018 #25 (8 connections now open)
2018-12-11T07:05:20.268+0000 I NETWORK  [conn25] received client metadata from 172.17.0.5:34018 conn25: { driver: { name: "MongoDB Internal Client", version: "4.0.4" }, os: { type: "Linux", name: "Ubuntu", architecture: "x86_64", version: "16.04" } }
2018-12-11T07:05:20.279+0000 I ACCESS   [conn25] Successfully authenticated as principal __system on local
2018-12-11T07:05:20.435+0000 W NETWORK  [ShardServerCatalogCacheLoader-0] Unable to reach primary for set rs_shardsvr1
2018-12-11T07:05:20.936+0000 W NETWORK  [ShardServerCatalogCacheLoader-0] Unable to reach primary for set rs_shardsvr1
2018-12-11T07:05:21.437+0000 W NETWORK  [ShardServerCatalogCacheLoader-0] Unable to reach primary for set rs_shardsvr1
2018-12-11T07:05:21.937+0000 W NETWORK  [ShardServerCatalogCacheLoader-0] Unable to reach primary for set rs_shardsvr1
2018-12-11T07:05:22.127+0000 I NETWORK  [listener] connection accepted from 172.17.0.12:53816 #26 (9 connections now open)
2018-12-11T07:05:22.127+0000 I NETWORK  [conn26] received client metadata from 172.17.0.12:53816 conn26: { driver: { name: "MongoDB Internal Client", version: "4.0.4" }, os: { type: "Linux", name: "Ubuntu", architecture: "x86_64", version: "16.04" } }
2018-12-11T07:05:22.137+0000 I ACCESS   [conn26] Successfully authenticated as principal __system on local
2018-12-11T07:05:22.438+0000 W NETWORK  [ShardServerCatalogCacheLoader-0] Unable to reach primary for set rs_shardsvr1
2018-12-11T07:05:22.939+0000 W NETWORK  [ShardServerCatalogCacheLoader-0] Unable to reach primary for set rs_shardsvr1
2018-12-11T07:05:23.440+0000 W NETWORK  [ShardServerCatalogCacheLoader-0] Unable to reach primary for set rs_shardsvr1
2018-12-11T07:05:23.941+0000 W NETWORK  [ShardServerCatalogCacheLoader-0] Unable to reach primary for set rs_shardsvr1
2018-12-11T07:05:24.441+0000 W NETWORK  [ShardServerCatalogCacheLoader-0] Unable to reach primary for set rs_shardsvr1
2018-12-11T07:05:24.942+0000 W NETWORK  [ShardServerCatalogCacheLoader-0] Unable to reach primary for set rs_shardsvr1
2018-12-11T07:05:25.437+0000 I NETWORK  [listener] connection accepted from 172.17.0.3:43130 #27 (10 connections now open)
2018-12-11T07:05:25.437+0000 I NETWORK  [conn27] received client metadata from 172.17.0.3:43130 conn27: { driver: { name: "MongoDB Internal Client", version: "4.0.4" }, os: { type: "Linux", name: "Ubuntu", architecture: "x86_64", version: "16.04" } }
2018-12-11T07:05:25.443+0000 W NETWORK  [ShardServerCatalogCacheLoader-0] Unable to reach primary for set rs_shardsvr1
2018-12-11T07:05:25.448+0000 I ACCESS   [conn27] Successfully authenticated as principal __system on local
2018-12-11T07:05:25.944+0000 W NETWORK  [ShardServerCatalogCacheLoader-0] Unable to reach primary for set rs_shardsvr1
2018-12-11T07:05:26.444+0000 W NETWORK  [ShardServerCatalogCacheLoader-0] Unable to reach primary for set rs_shardsvr1
2018-12-11T07:05:26.945+0000 W NETWORK  [ShardServerCatalogCacheLoader-0] Unable to reach primary for set rs_shardsvr1
2018-12-11T07:05:27.292+0000 I NETWORK  [listener] connection accepted from 172.17.0.4:36524 #28 (11 connections now open)
2018-12-11T07:05:27.292+0000 I NETWORK  [conn28] received client metadata from 172.17.0.4:36524 conn28: { driver: { name: "MongoDB Internal Client", version: "4.0.4" }, os: { type: "Linux", name: "Ubuntu", architecture: "x86_64", version: "16.04" } }
2018-12-11T07:05:27.303+0000 I ACCESS   [conn28] Successfully authenticated as principal __system on local
2018-12-11T07:05:27.446+0000 W NETWORK  [ShardServerCatalogCacheLoader-0] Unable to reach primary for set rs_shardsvr1
2018-12-11T07:05:27.635+0000 I REPL     [replexec-0] Starting an election, since we've seen no PRIMARY in the past 10000ms
2018-12-11T07:05:27.635+0000 I REPL     [replexec-0] conducting a dry run election to see if we could be elected. current term: 113
2018-12-11T07:05:27.635+0000 I REPL     [replexec-1] VoteRequester(term 113 dry run) received a yes vote from 172.17.0.9:27018; response message: { term: 113, voteGranted: true, reason: "", ok: 1.0, operationTime: Timestamp(1544511035, 1), $gleStats: { lastOpTime: Timestamp(0, 0), electionId: ObjectId('000000000000000000000000') }, lastCommittedOpTime: Timestamp(0, 0), $configServerState: { opTime: { ts: Timestamp(1544511910, 8), t: 129 } }, $clusterTime: { clusterTime: Timestamp(1544511926, 2), signature: { hash: BinData(0, 0000000000000000000000000000000000000000), keyId: 0 } } }
2018-12-11T07:05:27.635+0000 I REPL     [replexec-0] dry election run succeeded, running for election in term 114
2018-12-11T07:05:27.662+0000 I REPL     [replexec-1] VoteRequester(term 114) received a yes vote from 172.17.0.10:27018; response message: { term: 114, voteGranted: true, reason: "", ok: 1.0, operationTime: Timestamp(1544511035, 1), $gleStats: { lastOpTime: Timestamp(0, 0), electionId: ObjectId('000000000000000000000000') }, lastCommittedOpTime: Timestamp(0, 0), $configServerState: { opTime: { ts: Timestamp(1544511910, 8), t: 129 } }, $clusterTime: { clusterTime: Timestamp(1544511926, 2), signature: { hash: BinData(0, 0000000000000000000000000000000000000000), keyId: 0 } } }
2018-12-11T07:05:27.662+0000 I REPL     [replexec-2] election succeeded, assuming primary role in term 114
2018-12-11T07:05:27.662+0000 I REPL     [replexec-2] transition to PRIMARY from SECONDARY
2018-12-11T07:05:27.662+0000 I REPL     [replexec-2] Resetting sync source to empty, which was :27017
2018-12-11T07:05:27.663+0000 I REPL     [replexec-2] Entering primary catch-up mode.
2018-12-11T07:05:27.663+0000 I ASIO     [Replication] Connecting to 172.17.0.9:27018
2018-12-11T07:05:27.664+0000 I REPL     [replexec-2] Caught up to the latest optime known via heartbeats after becoming primary.
2018-12-11T07:05:27.664+0000 I REPL     [replexec-2] Exited primary catch-up mode.
2018-12-11T07:05:27.664+0000 I REPL     [replexec-2] Stopping replication producer
2018-12-11T07:05:27.947+0000 W NETWORK  [ShardServerCatalogCacheLoader-0] Unable to reach primary for set rs_shardsvr1
2018-12-11T07:05:28.448+0000 W NETWORK  [ShardServerCatalogCacheLoader-0] Unable to reach primary for set rs_shardsvr1
2018-12-11T07:05:28.949+0000 W NETWORK  [ShardServerCatalogCacheLoader-0] Unable to reach primary for set rs_shardsvr1
2018-12-11T07:05:29.433+0000 I REPL     [rsSync-0] transition to primary complete; database writes are now permitted
2018-12-11T07:05:29.449+0000 I ASIO     [ShardRegistry] Connecting to 172.17.0.11:27018
2018-12-11T07:05:29.450+0000 I NETWORK  [listener] connection accepted from 172.17.0.11:54278 #31 (12 connections now open)
2018-12-11T07:05:29.450+0000 I NETWORK  [conn31] received client metadata from 172.17.0.11:54278 conn31: { driver: { name: "NetworkInterfaceTL", version: "4.0.4" }, os: { type: "Linux", name: "Ubuntu", architecture: "x86_64", version: "16.04" } }
2018-12-11T07:05:29.450+0000 I ACCESS   [conn31] Successfully authenticated as principal __system on local
2018-12-11T07:05:29.787+0000 I NETWORK  [listener] connection accepted from 172.17.0.5:34090 #32 (13 connections now open)
2018-12-11T07:05:29.787+0000 I NETWORK  [conn32] received client metadata from 172.17.0.5:34090 conn32: { driver: { name: "NetworkInterfaceTL", version: "4.0.4" }, os: { type: "Linux", name: "Ubuntu", architecture: "x86_64", version: "16.04" } }
2018-12-11T07:05:29.788+0000 I ACCESS   [conn32] Successfully authenticated as principal __system on local
2018-12-11T07:05:29.867+0000 I NETWORK  [listener] connection accepted from 172.17.0.10:57686 #33 (14 connections now open)
2018-12-11T07:05:29.867+0000 I NETWORK  [conn33] received client metadata from 172.17.0.10:57686 conn33: { driver: { name: "NetworkInterfaceTL", version: "4.0.4" }, os: { type: "Linux", name: "Ubuntu", architecture: "x86_64", version: "16.04" } }
2018-12-11T07:05:29.867+0000 I ACCESS   [conn33] Successfully authenticated as principal __system on local
2018-12-11T07:05:29.901+0000 I NETWORK  [listener] connection accepted from 172.17.0.9:50476 #34 (15 connections now open)
2018-12-11T07:05:29.901+0000 I NETWORK  [conn34] received client metadata from 172.17.0.9:50476 conn34: { driver: { name: "NetworkInterfaceTL", version: "4.0.4" }, os: { type: "Linux", name: "Ubuntu", architecture: "x86_64", version: "16.04" } }
2018-12-11T07:05:29.902+0000 I ACCESS   [conn34] Successfully authenticated as principal __system on local
2018-12-11T07:05:30.345+0000 I NETWORK  [listener] connection accepted from 172.17.0.10:57690 #35 (16 connections now open)
2018-12-11T07:05:30.345+0000 I NETWORK  [conn35] received client metadata from 172.17.0.10:57690 conn35: { driver: { name: "NetworkInterfaceTL", version: "4.0.4" }, os: { type: "Linux", name: "Ubuntu", architecture: "x86_64", version: "16.04" } }
2018-12-11T07:05:30.346+0000 I ACCESS   [conn35] Successfully authenticated as principal __system on local
2018-12-11T07:05:30.347+0000 I NETWORK  [listener] connection accepted from 172.17.0.10:57692 #36 (17 connections now open)
2018-12-11T07:05:30.347+0000 I NETWORK  [conn36] received client metadata from 172.17.0.10:57692 conn36: { driver: { name: "NetworkInterfaceTL", version: "4.0.4" }, os: { type: "Linux", name: "Ubuntu", architecture: "x86_64", version: "16.04" } }
2018-12-11T07:05:30.348+0000 I ACCESS   [conn36] Successfully authenticated as principal __system on local
